Gene	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q
COL12A1	2.83E-03	1.42E-01	4.78E-04	8.32E-02	6.17E-01	5.08E-01	0.00E+00
ENSA	3.17E-04	9.24E-02	6.59E-03	1.60E-01	1.47E-01	9.46E-01	0.00E+00
ETS2	3.71E-04	9.24E-02	4.54E-03	1.45E-01	4.09E-01	2.96E-01	0.00E+00
FER	4.85E-04	9.26E-02	2.41E-04	6.70E-02	5.40E-01	4.06E-02	0.00E+00
FGF13	1.30E-04	7.33E-02	4.31E-05	5.22E-02	NA	NA	0.00E+00
GTF2E1	5.81E-04	9.26E-02	1.40E-03	1.12E-01	8.15E-01	9.47E-02	0.00E+00
HIVEP2	1.68E-03	1.30E-01	1.75E-03	1.16E-01	1.29E-01	4.00E-01	0.00E+00
IDH1	6.17E-04	9.38E-02	2.19E-04	6.47E-02	5.83E-01	8.27E-01	0.00E+00
LIMK1	7.12E-06	2.57E-02	1.92E-02	2.07E-01	9.34E-01	9.97E-01	0.00E+00
NDUFA4	5.88E-04	9.26E-02	3.69E-03	1.39E-01	5.78E-01	2.33E-01	0.00E+00
PLA2G4A	1.26E-02	2.08E-01	6.51E-05	5.22E-02	3.39E-01	8.01E-01	0.00E+00
PMP22	4.23E-04	9.26E-02	1.82E-03	1.17E-01	5.94E-01	1.77E-01	0.00E+00
RALB	5.18E-05	4.89E-02	9.39E-03	1.75E-01	8.38E-01	4.05E-02	0.00E+00
SOX10	2.10E-04	8.60E-02	8.62E-03	1.73E-01	3.16E-01	3.46E-01	0.00E+00
DYNLT3	6.35E-05	5.40E-02	2.03E-05	5.22E-02	NA	NA	0.00E+00
TRPV1	3.84E-04	9.26E-02	3.34E-04	7.26E-02	6.10E-02	1.96E-01	0.00E+00
AP1S2	1.95E-03	1.31E-01	1.08E-04	5.22E-02	NA	NA	0.00E+00
CBFA2T2	3.21E-04	9.24E-02	6.68E-04	8.49E-02	5.40E-01	9.49E-01	0.00E+00
MTA2	4.40E-04	9.26E-02	5.84E-05	5.22E-02	5.89E-01	4.33E-01	0.00E+00
GTF2IRD1	6.57E-03	1.76E-01	1.44E-04	5.48E-02	9.00E-01	2.36E-01	0.00E+00
TRAF4	1.46E-03	1.30E-01	1.11E-03	1.02E-01	4.62E-01	4.80E-02	0.00E+00
MED12	3.07E-04	9.24E-02	1.15E-03	1.03E-01	NA	NA	0.00E+00
ATF7	4.16E-04	9.26E-02	2.05E-03	1.18E-01	1.28E-01	6.98E-01	0.00E+00
STAU2	1.92E-03	1.31E-01	3.66E-04	7.79E-02	2.70E-01	1.50E-01	0.00E+00
GPSM2	3.94E-03	1.51E-01	6.70E-04	8.49E-02	2.17E-01	9.11E-01	0.00E+00
C12orf24	2.49E-06	2.27E-02	2.95E-03	1.32E-01	1.70E-01	1.60E-01	0.00E+00
GPRC5B	1.02E-04	6.93E-02	6.39E-03	1.57E-01	8.36E-02	8.84E-01	0.00E+00
CYCS	1.78E-03	1.31E-01	9.74E-05	5.22E-02	8.81E-01	1.65E-01	0.00E+00
