gene_id	gene_pos_hg19	locus_rank	locus_pvalue	locus_pos_hg19	SZ_GWAS_prev	locus_genes	OMIM	SZ_GWAS_prev_study	KO_phenotype	ensembl_gene_id	hgnc_id	gene_symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date	mult_matches
ENSG00000149527.13	chr1:2372401-2402501	50	8.7e-10	chr1:2372401-2402501	N	PLCH2	NA	Non-obstructive azoospermia p=6E- 12 pmid=22197933	NA	ENSG00000149527	HGNC:29037	PLCH2	phospholipase C eta 2	protein-coding gene	gene with protein product	Approved	1p36.32	01p36.32	KIAA0450|PLCeta2|RP3-395M20.1|PLC-eta2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	PLCL4	phospholipase C-like 4|phospholipase C, eta 2	Phospholipases|EF-hand domain containing	467|863	2004-07-28	2006-03-16	2015-11-17	2015-11-17	9651	OTTHUMG00000000719	uc057bmp.1	AB007919	NM_014638	CCDS59959	O75038	15899900	MGI:2443078	RGD:1304675	NA	PLCH2	612836	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:1415	NA	NA	NA	NA	3.1.4.11	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000142599.13	chr1:8411184-8638984	53	1.17e-9	chr1:8411184-8638984	N	RERE;SLC45A1	RERE Leukemia, acute myeloid, with eosinophilia	Vitiligo p=7E-15 pmid=20410501	Rere nervous	ENSG00000142599	HGNC:9965	RERE	arginine-glutamic acid dipeptide repeats	protein-coding gene	gene with protein product	Approved	1p36.23	01p36.23	KIAA0458|ARP|ARG|DNB1	NA	ATN1L	arginine-glutamic acid dipeptide (RE) repeats	GATA zinc finger domain containing|Myb/SANT domain containing	82|532	2000-05-19	NA	2016-04-05	2016-04-05	473	OTTHUMG00000001765	uc001ape.4	AF016005	NM_001042681	CCDS95|CCDS41243	Q9P2R6	10814707|10729226	MGI:2683486	RGD:629475	NA	RERE	605226	NA	NA	NA	NA	465808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000232912.1	chr1:8411184-8638984	53	1.17e-9	chr1:8411184-8638984	N	RERE;SLC45A1	RERE Leukemia, acute myeloid, with eosinophilia	Vitiligo p=7E-15 pmid=20410501	Rere nervous	ENSG00000232912	HGNC:40501	RERE-AS1	RERE antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1p36.23	01p36.23	NA	NA	NA	NA	NA	NA	2018-09-26	NA	NA	2018-09-26	102724552	OTTHUMG00000001772	NA	NA	NR_125999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000221083.1	chr1:8411184-8638984	53	1.17e-9	chr1:8411184-8638984	N	RERE;SLC45A1	RERE Leukemia, acute myeloid, with eosinophilia	Vitiligo p=7E-15 pmid=20410501	Rere nervous	ENSG00000221083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000270282.1	chr1:8411184-8638984	53	1.17e-9	chr1:8411184-8638984	N	RERE;SLC45A1	RERE Leukemia, acute myeloid, with eosinophilia	Vitiligo p=7E-15 pmid=20410501	Rere nervous	ENSG00000270282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000142949.12	chr1:44029384-44128084	46	3.39e-10	chr1:44029384-44128084	N	KDM4A;PTPRF	NA	NA	Ptprf behavioral neurological nervous	ENSG00000142949	HGNC:9670	PTPRF	protein tyrosine phosphatase, receptor type F	protein-coding gene	gene with protein product	Approved	1p34.2	01p34.2	NA	NA	LAR	NA	Fibronectin type III domain containing|I-set domain containing|Protein tyrosine phosphatases, receptor type	555|593|813	1989-06-30	NA	2016-01-06	2016-10-05	5792	OTTHUMG00000007501	uc001cjs.4	Y00815	NM_001329137	CCDS489|CCDS490	P10586	7558042	MGI:102695	RGD:3453	NA	PTPRF	179590	NA	NA	NA	NA	410737	NA	NA	NA	NA	objectId:1855	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000066135.8	chr1:44029384-44128084	46	3.39e-10	chr1:44029384-44128084	N	KDM4A;PTPRF	NA	NA	Ptprf behavioral neurological nervous	ENSG00000066135	HGNC:22978	KDM4A	lysine demethylase 4A	protein-coding gene	gene with protein product	Approved	1p34.2-p34.1	01p34.2-p34.1	KIAA0677|JHDM3A|TDRD14A	jumonji C domain-containing histone demethylase 3A|tudor domain containing 14A	JMJD2|JMJD2A	jumonji domain containing 2|jumonji domain containing 2A|lysine (K)-specific demethylase 4A	Lysine demethylases|Tudor domain containing	485|780	2003-08-08	2009-04-06	2016-02-12	2018-02-13	9682	OTTHUMG00000007560	uc001cjx.4	AB014577	NM_014663	CCDS491	O75164	9734811|15138608	MGI:2446210	RGD:1306378	NA	KDM4A	609764	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:2675	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000233973.1	chr1:73766426-73991366	21	2.03e-12	chr1:73766426-73991366	Y	LRRIQ3	NA	SCZ pmid = 23974872	NA	ENSG00000233973	HGNC:50593	LINC01360	long intergenic non-protein coding RNA 1360	non-coding RNA	RNA, long non-coding	Approved	1p31.1	01p31.1	NA	NA	NA	NA	NA	NA	2014-05-22	NA	NA	2014-05-22	101927295	OTTHUMG00000009566	NA	NA	NR_110676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS00003E6B77	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000188641.8	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000188641	HGNC:3012	DPYD	dihydropyrimidine dehydrogenase	protein-coding gene	gene with protein product	Approved	1p21.3	01p21.3	DPD	NA	NA	NA	NA	NA	1994-07-07	NA	NA	2018-12-06	1806	OTTHUMG00000039683	uc001drv.4	U20938	NM_000110	CCDS30777|CCDS53346	Q12882	7713523	MGI:2139667	RGD:621218	UMD Locus Specific Databases|http://www.umd.be/|LRG_722|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_722.xml	DPYD	612779	NA	NA	NA	NA	121171	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3.1.2	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000232542.1	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000232542	HGNC:41326	DPYD-IT1	DPYD intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	1p21.3	01p21.3	NA	NA	NA	DPYD intronic transcript 1 (non-protein coding)	NA	NA	2011-05-20	NA	2015-02-25	2015-02-25	100874267	OTTHUMG00000039679	uc057iot.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS00001B87E6	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000228057.1	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000228057	HGNC:41953	SEC63P1	SEC63 homolog, protein translocation regulator pseudogene 1	pseudogene	pseudogene	Approved	1p21.3	01p21.3	NA	NA	NA	SEC63 homolog (S. cerevisiae) pseudogene 1	NA	NA	2011-05-20	NA	2015-07-31	2015-07-31	100420341	OTTHUMG00000039678	NA	NA	NG_008807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PGOHUM00000244805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000226128.1	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000226128	HGNC:36180	RPL26P9	ribosomal protein L26 pseudogene 9	pseudogene	pseudogene	Approved	1p21.3	01p21.3	NA	NA	NA	NA	NA	NA	2009-03-06	NA	NA	2016-10-05	100270885	OTTHUMG00000039677	NA	NA	NG_010196	NA	NA	19123937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PGOHUM00000263042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000230718.1	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000230718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000235777.1	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000235777	HGNC:40196	DPYD-AS2	DPYD antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	1p21.3	01p21.3	NA	NA	NA	DPYD antisense RNA 2 (non-protein coding)	NA	NA	2011-05-20	NA	2012-08-15	2017-04-28	100873933	OTTHUMG00000039680	uc031uik.2	NA	NR_046591	NA	NA	28391028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS000075A138	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000270911.1	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000270911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000269998.1	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000269998	HGNC:52744	LINC01930	long intergenic non-protein coding RNA 1930	non-coding RNA	RNA, long non-coding	Approved	1p21.3	01p21.3	EU358092	NA	NA	NA	NA	NA	2016-12-07	NA	NA	2016-12-16	109729128	OTTHUMG00000183916	NA	NA	NR_146275	NA	NA	27913161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS0000BC4572	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000259946.1	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000259946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000225206.4	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000225206	HGNC:42871	MIR137HG	MIR137 host gene	non-coding RNA	RNA, long non-coding	Approved	1p21.3	01p21.3	NA	NA	NA	MIR137 host gene (non-protein coding)	NA	NA	2011-09-02	NA	2015-02-20	2015-02-20	400765	OTTHUMG00000010680	uc001drx.3	AK094607	NR_046105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS000075CFB2	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000233557.2	chr1:97792625-98559084	2	3.36e-19	chr1:97792625-98559084	Y	DPYD;MIR137	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	NA	ENSG00000233557	HGNC:44554	NFU1P2	NFU1 iron-sulfur cluster scaffold pseudogene 2	pseudogene	pseudogene	Approved	1p21.3	01p21.3	NA	NA	NA	NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae) pseudogene 2	NA	NA	2012-11-15	NA	2014-07-03	2014-07-03	100132699	OTTHUMG00000010679	NA	NA	NG_022795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PGOHUM00000244809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000223945.2	chr1:149998890-150242490	48	4.49e-10	chr1:149998890-150242490	N	ANP32E;APH1A;C1orf51;C1orf54;CA14;OTUD7B;PLEKHO1;VPS45	NA	NA	Anp32e behavioral neurological; Aph1a nervous	ENSG00000223945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000136631.8	chr1:149998890-150242490	48	4.49e-10	chr1:149998890-150242490	N	ANP32E;APH1A;C1orf51;C1orf54;CA14;OTUD7B;PLEKHO1;VPS45	NA	NA	Anp32e behavioral neurological; Aph1a nervous	ENSG00000136631	HGNC:14579	VPS45	vacuolar protein sorting 45 homolog	protein-coding gene	gene with protein product	Approved	1q21.2	01q21.2	h-vps45|H1	NA	VPS45B|VPS45A	vacuolar protein sorting 45A (yeast homolog)|vacuolar protein sorting 45A (yeast)|vacuolar protein sorting 45 homolog (S. cerevisiae)	NA	NA	2001-02-08	2006-12-19	2016-04-05	2018-12-06	11311	OTTHUMG00000012511	uc001etp.5	U35246	NM_007259	CCDS944|CCDS60244|CCDS86017	Q9NRW7	8996080	MGI:891965	RGD:621267	LRG_1170|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_1170.xml	VPS45	610035	NA	NA	NA	NA	376411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
ENSG00000023902.9	chr1:149998890-150242490	48	4.49e-10	chr1:149998890-150242490	N	ANP32E;APH1A;C1orf51;C1orf54;CA14;OTUD7B;PLEKHO1;VPS45	NA	NA	Anp32e behavioral neurological; Aph1a nervous	ENSG00000023902	HGNC:24310	PLEKHO1	pleckstrin homology domain containing O1	protein-coding gene	gene with protein product	Approved	1q21.2	01q21.2	CKIP-1|OC120	NA	NA	pleckstrin homology domain containing, family O member 1	Pleckstrin homology domain containing	682	2005-11-28	NA	2015-11-18	2015-11-18	51177	OTTHUMG00000012510	uc001ett.4	AF073836	NM_016274	CCDS945|CCDS76210	Q53GL0	10799509	MGI:1914470	RGD:1311487	NA	PLEKHO1	608335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NO
