Entry	Trait	SNP_rsID	anno_class	gene1_symbol	gene1_ID	gene2_symbol	gene2_ID	car	pos	PValue	source	PubMed	analysis_ID	study_ID	study_name	population
1	Schizophrenia	13217619	nearGene-5	ZSCAN31	64288	ZSCAN31	64288	6	28338894	2E-29	NHGRI	26198764				Arab
2	Schizophrenia	144447022	intron	LOC101929006	101929006	LOC101929006	101929006	6	29276442	2E-28	NHGRI	26198764				Arab
3	Schizophrenia	34706883	nearGene-3	HIST1H2AK	8330	HIST1H2AK	8330	6	27837477	5E-27	NHGRI	26198764				Arab
4	Schizophrenia	34706883	nearGene-5	HIST1H2BN	8341	HIST1H2BN	8341	6	27837477	5E-27	NHGRI	26198764				Arab
5	Schizophrenia	41266839	missense	BTN3A1	11119	BTN3A1	11119	6	26409662	7E-27	NHGRI	26198764				Arab
6	Schizophrenia	55834529	intergenic	TRS-GCT1-1	100189157	HIST1H2BJ	8970	6	27104763	9E-27	NHGRI	26198764				Arab
7	Schizophrenia	13198474	UTR-5	SLC17A3	10786	SLC17A3	10786	6	25874195	3E-20	NHGRI	26198764				Arab
8	Schizophrenia	2596500	nearGene-3	HLA-B	3106	HLA-B	3106	6	31353490	8E-20	NHGRI	26198764				Arab
9	Schizophrenia	1702294	intron	MIR137HG	400765	MIR137HG	400765	1	98036428	3E-19	NHGRI	25056061				East Asian|Asian|European
10	Schizophrenia	9274623	nearGene-5	HLA-DQB1	3119	HLA-DQB1	3119	6	32668221	6E-19	NHGRI	26198764				Arab
11	Schizophrenia	11191419	nearGene-5	C10orf32	119032	C10orf32	119032	10	102852578	6E-19	NHGRI	25056061				East Asian|Asian|European
12	Schizophrenia	11191419	nearGene-5	C10orf32-ASMT	100528007	C10orf32-ASMT	100528007	10	102852578	6E-19	NHGRI	25056061				East Asian|Asian|European
13	Schizophrenia	11191419	nearGene-5	C10orf32	119032	C10orf32	119032	10	102852578	3E-18	NHGRI	26198764				Arab
14	Schizophrenia	11191419	nearGene-5	C10orf32-ASMT	100528007	C10orf32-ASMT	100528007	10	102852578	3E-18	NHGRI	26198764				Arab
15	Schizophrenia	2007044	intron	CACNA1C	775	CACNA1C	775	12	2235794	3E-18	NHGRI	25056061				East Asian|Asian|European
16	Schizophrenia	2660304	nearGene-5	MIR137	406928	MIR137	406928	1	98046571	1E-17	NHGRI	26198764				Arab
17	Schizophrenia	2660304	ncRNA	MIR137HG	400765	MIR137HG	400765	1	98046571	1E-17	NHGRI	26198764				Arab
18	Schizophrenia	2660304	nearGene-5	MIR2682	100616452	MIR2682	100616452	1	98046571	1E-17	NHGRI	26198764				Arab
19	Schizophrenia	2007044	intron	CACNA1C	775	CACNA1C	775	12	2235794	1E-17	NHGRI	26198764				Arab
20	Schizophrenia	2523722	intron	TRIM26	7726	TRIM26	7726	6	30197496	1E-16	NHGRI	22883433				European
21	Schizophrenia	10883832	intron	NT5C2	22978	NT5C2	22978	10	103111522	2E-16	NHGRI	26198764				Arab
22	Schizophrenia	73396800	intergenic	HLA-DMB	3109	HLA-DMA	3108	6	32946949	4E-16	NHGRI	26198764				Arab
23	Schizophrenia	4129585	intron	TSNARE1	203062	TSNARE1	203062	8	142231572	2E-15	NHGRI	25056061				East Asian|Asian|European
24	Schizophrenia	62392365	intron	LRRC16A	55604	LRRC16A	55604	6	25371141	4E-15	NHGRI	26198764				Arab
25	Schizophrenia	13217239	intergenic	TRI-AAT10-1	100189462	TRV-TAC4-1	100189408	6	27287188	4E-15	NHGRI	26198764				Arab
26	Schizophrenia	35518360	intergenic	MTND5P5	100873201	SLC39A8	64116	4	102225733	8E-15	NHGRI	25056061				East Asian|Asian|European
27	Schizophrenia	4391122	intergenic	CTC-436P18.1	101928630	ZSWIM6	57688	5	61302716	1E-14	NHGRI	25056061				East Asian|Asian|European
28	Schizophrenia	281768	intron	C2orf47	79568	C2orf47	79568	2	199960517	2E-14	NHGRI	26198764				Arab
