gene_symbol	gene_symbol_original	gene_symbol_corrected_reason	PheGenI_n	PheGenI_evidence	hgnc_id	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date	mult_matches
AASDHPPT	AASDHPPT	ok	1	rs61903125, AASDHPPT and GUCY1A2, PMID:26198764	HGNC:14235	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	protein-coding gene	gene with protein product	Approved	11q22.3	11q22.3	LYS5|CGI-80|AASD-PPT|ACPS	holo ACP synthase|holo-[acyl-carrier-protein] synthase	NA	NA	NA	NA	2000-12-21	NA	NA	2016-10-05	60496	ENSG00000149313	OTTHUMG00000166253	uc001pjc.2	AF302110	NM_015423	CCDS31664	Q9NRN7	12815048|11286508|18022563	MGI:1914868	RGD:1311360	NA	AASDHPPT	607756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7.8.7	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ABCB1	ABCB1	ok	1	rs13233308, ABCB1, PMID:26198764	HGNC:40	ATP binding cassette subfamily B member 1	protein-coding gene	gene with protein product	Approved	7q21.12	07q21.12	P-gp|CD243|GP170|ABC20	multidrug resistance protein 1	PGY1|MDR1|CLCS	colchicin sensitivity|ATP-binding cassette, sub-family B (MDR/TAP), member 1	CD molecules|ATP binding cassette subfamily B	471|806	1986-01-01	NA	2015-11-13	2015-11-13	5243	ENSG00000085563	OTTHUMG00000023393	uc003uiz.3	M14758	NM_000927	CCDS5608	P08183	3027054	MGI:97570	RGD:619951	NA	ABCB1	171050	NA	NA	NA	NA	318801	NA	NA	NA	NA	objectId:768	NA	NA	CD243	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ABCC10	ABCC10	ok	1	rs111547017, RPS2P28 and ABCC10, PMID:26198764	HGNC:52	ATP binding cassette subfamily C member 10	protein-coding gene	gene with protein product	Approved	6p21.1	06p21.1	EST182763|MRP7|SIMRP7	NA	NA	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	ATP binding cassette subfamily C	807	1999-10-26	NA	2015-11-13	2018-05-03	89845	ENSG00000124574	OTTHUMG00000014733	uc003ouz.1	U66684	NM_033450	CCDS4896|CCDS56430	Q5T3U5	8894702	MGI:2386976	RGD:1306696	NA	ABCC10	612509	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:785	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ACSM1	ACSM1	ok	2	rs433598, ACSM1, PMID:20185149; rs151222, ACSM1, PMID:18347602	HGNC:18049	acyl-CoA synthetase medium chain family member 1	protein-coding gene	gene with protein product	Approved	16p12.3	16p12.3	MACS1	NA	BUCS1	butyryl Coenzyme A synthetase 1	Acyl-CoA synthetase family	40	2002-03-22	2005-09-08	2017-06-13	2017-06-13	116285	ENSG00000166743	OTTHUMG00000131550	uc010bwg.2	AB059429	NM_052956	CCDS10587	Q08AH1	11470804|12654705	MGI:2152200	RGD:1306813	NA	ACSM1	614357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2.1.2	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ACTG1P14	ACTG1P14	ok	1	rs2026714, ACTG1P14 and RPL4P5, PMID:26198764	HGNC:49751	actin gamma 1 pseudogene 14	pseudogene	pseudogene	Approved	9p24.1	09p24.1	NA	NA	NA	NA	NA	NA	2014-02-13	NA	2015-01-19	2015-01-19	100418910	ENSG00000230581	OTTHUMG00000019534	NA	NA	NG_023870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PGOHUM00000304104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ACTN4P1	ACTN4P1	ok	1	rs76540759, ACTN4P1 and HAVCR1P2, PMID:27846195	HGNC:44028	actinin alpha 4 pseudogene 1	pseudogene	pseudogene	Approved	4q26	04q26	NA	NA	NA	NA	NA	NA	2012-05-28	NA	2016-01-18	2016-01-18	344978	ENSG00000213493	OTTHUMG00000161135	NA	NA	NG_022074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PGOHUM00000246045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADAM20P3	ADAM20P3	ok	3	rs4470690, ADAM20P3 and ZFP42, PMID:26821981; rs4470690, ADAM20P3 and ZFP42, PMID:26821981; rs4632716, ADAM20P3 and ZFP42, PMID:0	HGNC:43902	ADAM metallopeptidase domain 20 pseudogene 3	pseudogene	pseudogene	Approved	4q35.2	04q35.2	NA	NA	NA	NA	NA	NA	2012-04-30	NA	NA	2014-11-19	644325	ENSG00000249162	OTTHUMG00000160214	NA	NA	NG_023541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PGOHUM00000258178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADAMTS16	ADAMTS16	ok	1	rs16875288, ADAMTS16, PMID:24039173	HGNC:17108	ADAM metallopeptidase with thrombospondin type 1 motif 16	protein-coding gene	gene with protein product	Approved	5p15.32	05p15.32	ADAMTS16s	NA	NA	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 16	ADAM metallopeptidases with thrombospondin type 1 motif	50	2002-02-13	NA	2015-11-09	2016-10-05	170690	ENSG00000145536	OTTHUMG00000161663	uc003jdl.4	AJ315734	NM_139056	CCDS43299	Q8TE57	11867212	MGI:2429637	RGD:1310046	NA	ADAMTS16	607510	NA	NA	NA	NA	NA	NA	NA	M12.026	NA	objectId:1688	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADAMTS2	ADAMTS2	ok	1	rs146641304, ADAMTS2 and RUFY1, PMID:26198764	HGNC:218	ADAM metallopeptidase with thrombospondin type 1 motif 2	protein-coding gene	gene with protein product	Approved	5q35.3	05q35.3	ADAMTS-3|hPCPNI|PCINP|ADAM-TS2|NPI	procollagen I N-proteinase|procollagen N-endopeptidase	NA	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2	ADAM metallopeptidases with thrombospondin type 1 motif	50	1999-04-15	NA	2015-11-09	2015-11-09	9509	ENSG00000087116	OTTHUMG00000130915	uc003mjw.3	AJ003125	NM_014244	CCDS4444|CCDS34311	O95450	10094461|15373769	MGI:1347356	RGD:1565950	NA	ADAMTS2	604539	NA	NA	NA	NA	117780	NA	NA	M12.301	NA	objectId:1675	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADAMTS6	ADAMTS6	ok	1	rs17206232, CWC27 and ADAMTS6, PMID:23212062	HGNC:222	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding gene	gene with protein product	Approved	5q12.3	05q12.3	ADAM-TS6	a disintegrin and metalloproteinase with thrombospondin motifs 6	NA	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6	ADAM metallopeptidases with thrombospondin type 1 motif	50	1999-09-06	NA	2015-11-09	2016-10-05	11174	ENSG00000049192	OTTHUMG00000074079	uc003jtp.4	AF140674	NM_197941	CCDS3983	Q9UKP5	10464288	MGI:1347348	RGD:1307678	NA	ADAMTS6	605008	NA	NA	NA	NA	NA	NA	NA	M12.230	NA	objectId:1679	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADAMTSL3	ADAMTSL3	ok	2	rs950169, ADAMTSL3, PMID:25056061; rs950169, ADAMTSL3, PMID:26198764	HGNC:14633	ADAMTS like 3	protein-coding gene	gene with protein product	Approved	15q25.2	15q25.2	KIAA1233|punctin-2	NA	NA	NA	I-set domain containing|Immunoglobulin like domain containing|ADAMTS like	593|594|947	2004-04-21	NA	2015-11-09	2015-11-09	57188	ENSG00000156218	OTTHUMG00000147363	uc002bjz.5	AF237652	NM_207517	CCDS10326|CCDS73773	P82987	9628581|10574462	MGI:3028499	RGD:1305155	NA	ADAMTSL3	609199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADAMTSL4-AS1	ADAMTSL4-AS1	ok	1	rs72700829, ADAMTSL4-AS1, PMID:26198764	HGNC:32041	ADAMTSL4 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1q21.2	01q21.2	FLJ45786	NA	C1orf138	chromosome 1 open reading frame 138	NA	NA	2005-07-08	2013-08-29	2013-08-29	2014-11-18	574406	ENSG00000203804	OTTHUMG00000034866	NA	AK127688	NR_104133	NA	Q5T5F5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	URS000075D769	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADCK1	ADCK1	ok	7	rs56374507, ADCK1, PMID:27846195; rs56240334, ADCK1, PMID:27846195; rs74065827, ADCK1, PMID:27846195; rs56240334, ADCK1, PMID:27846195; rs34272020, ADCK1, PMID:27846195; rs74065827, ADCK1, PMID:27846195; rs56240334, ADCK1, PMID:27846195	HGNC:19038	aarF domain containing kinase 1	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	FLJ39600	NA	NA	NA	NA	NA	2003-07-21	NA	NA	2015-10-15	57143	ENSG00000063761	OTTHUMG00000171520	uc001xui.3	AK096919	NM_020421	CCDS9869|CCDS45144	Q86TW2	12471243	MGI:1919363	RGD:1308263	NA	ADCK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:1925	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADCY1	ADCY1	ok	1	rs1521470, ADCY1, PMID:26198764	HGNC:232	adenylate cyclase 1	protein-coding gene	gene with protein product	Approved	7p12.3	07p12.3	AC1	NA	DFNB44	adenylate cyclase 1 (brain)|deafness, autosomal recessive 44	Adenylate cyclases|Deafness associated genes	53|1152	1992-12-02	NA	2016-06-24	2018-12-06	107	ENSG00000164742	OTTHUMG00000155420	uc003tne.5	L05500	NM_021116	CCDS34631|CCDS75593	Q08828	8314585|24482543	MGI:99677	RGD:1309318	LRG_1172|http://ftp.ebi.ac.uk/pub/databases/lrgex/pending/LRG_1172.xml	ADCY1	103072	NA	NA	NA	NA	404762	NA	NA	NA	NA	objectId:1278	NA	NA	NA	NA	4.6.1.1	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADCY7	ADCY7	ok	1	rs11864208, ADCY7, PMID:26198764	HGNC:238	adenylate cyclase 7	protein-coding gene	gene with protein product	Approved	16q12.1	16q12.1	KIAA0037|AC7	NA	NA	NA	Adenylate cyclases	53	1994-07-22	NA	NA	2015-09-11	113	ENSG00000121281	OTTHUMG00000133172	uc002egd.3	D25538	NM_001114	CCDS10741|CCDS73882	P51828	7860067	MGI:102891	RGD:619966	NA	ADCY7	600385	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:1284	NA	NA	NA	NA	4.6.1.1	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
ADGRE3	ADGRE3	ok	2	rs73506161, ADGRE3, PMID:27846195; rs73506161, ADGRE3, PMID:27846195	HGNC:23647	adhesion G protein-coupled receptor E3	protein-coding gene	gene with protein product	Approved	19p13.12	19p13.12	NA	NA	EMR3	egf-like module containing, mucin-like, hormone receptor-like 3	Adhesion G protein-coupled receptors, subfamily E	915	2003-11-26	2015-03-03	2015-03-03	2015-08-28	84658	ENSG00000131355	OTTHUMG00000183406	NA	AF239764	NM_032571	CCDS12315|CCDS74296|CCDS74297	Q9BY15	11279179|12975309|25713288	NA	NA	NA	NA	606101	NA	NA	NA	NA	NA	NA	NA	P02.003	NA	objectId:184	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	NA
