#chrom	start	end	size	num_data	min	max	mean	median	sum
chr20	60962376	60962444	68	68	275.00	2200.00	919.62	833.50	62534.00
chr20	60962666	60962730	64	64	2248.00	3533.00	3089.50	3268.00	197728.00
chr9	140046637	140048246	1609	1609	0.00	0.00	0.00	0.00	0.00
chr20	60963364	60963575	211	211	1.00	3221.00	1044.61	281.00	220412.00
chr4	39457960	39458158	198	198	7.00	3065.00	831.67	458.00	164671.00
chr16	46717400	46717518	118	118	0.00	94.00	31.19	20.00	3680.00
chr5	141348677	141348732	55	55	0.00	1.00	0.09	0.00	5.00
chr1	27889774	27889872	98	98	0.00	0.00	0.00	0.00	0.00
chr10	85899271	85899349	78	78	0.00	249.00	97.10	70.00	7574.00
chr12	56436208	56436386	178	178	19.00	1700.00	915.78	1158.50	163009.00
chr8	1285747	1287021	1274	1274	0.00	0.00	0.00	0.00	0.00
chr10	71930168	71930259	91	91	0.00	11.00	7.24	6.00	659.00
chr7	22852591	22852804	213	213	37.00	2807.00	1698.82	1777.00	361848.00
chr6	34385239	34385324	85	85	94.00	1906.00	987.07	1066.00	83901.00
chr19	13351029	13351528	499	499	0.00	0.00	0.00	0.00	0.00
chr8	82633461	82633523	62	62	0.00	7.00	0.11	0.00	7.00
chr7	157639384	157641336	1952	1952	0.00	0.00	0.00	0.00	0.00
chr11	61312182	61313477	1295	1295	0.00	22.00	2.62	0.00	3396.00
chr2	55462563	55463120	557	557	0.00	5104.00	1042.79	39.00	580832.00
chr15	82822713	82822779	66	66	1479.00	2410.00	2027.26	2098.50	133799.00
chr15	83207056	83207122	66	66	1489.00	2434.00	2042.08	2107.50	134777.00
chr20	60962898	60963118	220	220	0.00	3201.00	952.23	17.00	209490.00
chr14	50087279	50087341	62	62	0.00	485.00	160.92	106.50	9977.00
chr1	161007431	161007616	185	185	5.00	294.00	167.31	190.00	30953.00
chr16	56667662	56667871	209	209	52.00	472.00	307.42	309.00	64250.00
chr2	62095273	62095841	568	568	0.00	756.00	212.47	92.00	120685.00
chr19	50002768	50002948	180	180	0.00	4459.00	2701.07	3333.50	486193.00
chr5	141350268	141350442	174	174	1.00	98.00	54.30	53.00	9448.00
chr14	50050290	50050393	103	103	88.00	3441.00	1565.93	1137.00	161291.00
chr11	13438704	13438826	122	122	0.00	91.00	39.20	37.00	4782.00
chr2	3113787	3114772	985	985	0.00	0.00	0.00	0.00	0.00
chr4	166234389	166234518	129	129	238.00	430.00	353.47	364.00	45597.00
chr20	57607274	57607398	124	124	0.00	1834.00	617.28	283.00	76543.00
chr6	52860421	52860742	321	321	0.00	292.00	111.11	120.00	35666.00
chr8	74203786	74203896	110	110	2416.00	4095.00	2990.31	2827.00	328934.00
chr7	10973076	10973319	243	243	0.00	8230.00	4301.06	5447.00	1045158.00
chr2	76672341	76672528	187	187	0.00	15.00	7.54	12.00	1410.00
chr8	74204007	74204145	138	138	2206.00	3825.00	3074.08	3074.50	424223.00
chr16	85833245	85833358	113	113	18.00	1114.00	235.44	158.00	26605.00
chr10	7830132	7830226	94	94	0.00	236.00	93.93	64.50	8829.00
chr6	35438356	35438556	200	200	35.00	2247.00	1432.80	1597.50	286559.00
chr17	44450181	44450232	51	51	20.00	112.00	62.84	47.00	3205.00
chr4	170611680	170611803	123	123	41.00	98.00	75.64	71.00	9304.00
chr6	34741222	34741557	335	335	10.00	572.00	355.64	445.00	119139.00
chr2	220113512	220113621	109	109	0.00	11.00	3.09	3.00	337.00
chr2	217363965	217364121	156	156	18.00	7600.00	2960.62	2627.50	461856.00
chr17	4701574	4701786	212	212	26.00	774.00	510.39	533.50	108202.00
chr17	44668087	44668153	66	66	0.00	110.00	49.26	42.00	3251.00
chr4	166248829	166248916	87	87	19.00	57.00	27.39	31.00	2383.00
chr14	50052369	50052767	398	398	0.00	4772.00	934.18	1.00	371805.00
chr17	8285460	8285633	173	173	944.00	4913.00	3306.66	3915.00	572053.00
chr9	33256798	33256906	108	108	283.00	486.00	373.26	381.50	40312.00
chr11	17096643	17096744	101	101	1682.00	2465.00	2058.05	1967.00	207863.00
chr3	179332758	179332847	89	89	275.00	402.00	340.55	337.00	30309.00
chr6	40459174	40459904	730	730	0.00	0.00	0.00	0.00	0.00
chr16	910657	910966	309	309	0.00	0.00	0.00	0.00	0.00
chr4	39456483	39456564	81	81	2137.00	4751.00	3317.51	3423.00	268718.00
chr5	1815964	1816162	198	198	0.00	869.00	575.41	660.50	113931.00
chr1	40506387	40506473	86	86	0.00	28.00	9.28	0.00	798.00
chr7	22862295	22862456	161	161	6.00	1921.00	824.11	669.00	132681.00
chr19	13547230	13547514	284	284	0.00	0.00	0.00	0.00	0.00
chr11	125092545	125092689	144	144	0.00	0.00	0.00	0.00	0.00
chr15	55681562	55681631	69	69	0.00	19.00	6.77	0.00	467.00
chr1	153964041	153964236	195	195	0.00	5636.00	2719.13	4002.00	530231.00
chr13	27827736	27827980	244	244	0.00	3309.00	617.01	0.00	150551.00
chr5	81574138	81574200	62	62	11.00	87.00	31.52	22.00	1954.00
chr12	56510998	56511604	606	606	14.00	9052.00	3425.12	1782.50	2075625.00
chr10	120938266	120938323	57	57	0.00	61.00	30.49	26.00	1738.00
chr13	114561069	114562803	1734	1734	0.00	16.00	0.91	0.00	1571.00
chr3	150340171	150340282	111	111	95.00	262.00	186.83	189.00	20738.00
chr6	75947476	75947704	228	228	21.00	2981.00	1646.39	2220.50	375377.00
chr1	154245108	154245252	144	144	0.00	98.00	23.16	8.00	3335.00
chr3	42845927	42845995	68	68	0.00	244.00	97.41	60.00	6624.00
chr20	57603638	57603896	258	258	0.00	6165.00	2298.19	1763.00	592934.00
chr11	61307866	61308833	967	967	0.00	16.00	3.10	0.00	2996.00
chr8	1287087	1289234	2147	2147	0.00	14.00	0.63	0.00	1352.00
chr1	95615763	95615822	59	59	0.00	30.00	8.64	0.00	510.00
chr11	61306915	61307700	785	785	0.00	4.00	0.28	0.00	216.00
chr2	85569254	85569444	190	190	12.00	109.00	61.98	53.00	11777.00
chr16	18796059	18796145	86	86	1489.00	1873.00	1675.81	1692.50	144120.00
chr16	18800302	18800440	138	138	95.00	1805.00	813.95	621.00	112325.00
chr13	76104249	76104402	153	153	212.00	645.00	454.09	470.00	69476.00
chr6	160200926	160201119	193	193	317.00	464.00	390.94	396.00	75451.00
chr3	119217402	119217802	400	400	0.00	223.00	101.45	107.00	40580.00
chr11	77330650	77330740	90	90	84.00	287.00	187.81	207.00	16903.00
chr17	41150614	41150848	234	234	6.00	3177.00	670.05	37.00	156792.00
chr13	27830320	27830529	209	209	1.00	6475.00	3969.82	5183.00	829693.00
chr10	79231930	79232252	322	322	0.00	0.00	0.00	0.00	0.00
chr11	61556602	61556707	105	105	27.00	1085.00	606.92	699.00	63727.00
chr15	34388095	34388215	120	120	31.00	169.00	71.42	59.00	8570.00
chr13	78473993	78474102	109	109	21.00	63.00	48.55	48.00	5292.00
chr2	217364671	217366694	2023	2023	0.00	9748.00	642.14	30.00	1299058.00
chr7	45022643	45022921	278	278	37.00	119.00	82.33	88.00	22888.00
chr9	88664910	88665253	343	343	0.00	7.00	3.59	7.00	1232.00
chr9	86595417	86595531	114	114	0.00	142.00	40.32	25.00	4596.00
chr9	130210114	130210268	154	154	2.00	2802.00	1597.36	2065.00	245993.00
chr8	53548574	53548629	55	55	100.00	161.00	133.29	133.00	7331.00
chr7	56169263	56169554	291	291	15.00	1967.00	1225.27	1321.00	356555.00
chr2	212286731	212286829	98	98	0.00	0.00	0.00	0.00	0.00
chr12	66563634	66563775	141	141	1.00	206.00	80.87	50.00	11402.00
chr22	39708887	39708989	102	102	3.00	4575.00	1927.91	1754.00	196647.00
chr19	9940640	9940792	152	152	62.00	1661.00	957.83	1063.00	145590.00
chr22	40742544	40742715	171	171	0.00	95.00	17.68	27.00	3024.00
chr6	52947301	52947416	115	115	105.00	279.00	198.64	211.00	22844.00
chr12	100613785	100613924	139	139	212.00	473.00	310.47	299.00	43156.00
chr17	36920371	36920474	103	103	62.00	659.00	423.34	513.00	43604.00
chr4	152022126	152022314	188	188	1405.00	2287.00	1798.00	1695.50	338024.00
chr4	109543106	109543180	74	74	59.00	1232.00	372.31	240.00	27551.00
chr7	103848280	103848438	158	158	7.00	30.00	17.47	23.00	2760.00
chr3	197682531	197683078	547	547	0.00	2231.00	213.54	48.00	116805.00
chr5	43313457	43313578	121	121	0.00	58.00	23.27	13.00	2816.00
chr16	46715990	46716125	135	135	0.00	137.00	60.92	74.00	8224.00
chr6	75953432	75953511	79	79	12.00	1081.00	292.38	149.00	23098.00
chr8	99053984	99054085	101	101	41.00	3075.00	2150.32	2309.00	217182.00
chr14	39561744	39561831	87	87	7.00	28.00	15.14	7.00	1317.00
chr12	112842994	112843180	186	186	2.00	2788.00	1768.35	2188.00	328913.00
chr3	156232152	156232238	86	86	65.00	158.00	104.51	126.50	8988.00
chr1	161127910	161128001	91	91	343.00	461.00	409.48	403.00	37263.00
chr17	3623600	3623696	96	96	58.00	198.00	136.58	132.00	13112.00
chr4	8488160	8488274	114	114	0.00	32.00	21.89	32.00	2496.00
chr1	93297596	93297883	287	287	0.00	723.00	73.85	7.00	21196.00
chr1	6257711	6257893	182	182	0.00	3229.00	923.88	190.00	168147.00
chr17	30178892	30179327	435	435	14.00	754.00	523.95	547.00	227918.00
chr6	29913227	29913653	426	426	0.00	1423.00	972.16	1079.00	414142.00
chr8	1333882	1335355	1473	1473	0.00	14.00	0.95	0.00	1400.00
chr8	104033297	104033453	156	156	0.00	246.00	88.81	83.00	13855.00
