gene_symbol	gene_symbol_original	gene_symbol_corrected_reason	mult_matches	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q	hgnc_id	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date
COL12A1	COL12A1	ok	NO	0.00283	0.142	4.78e-4	0.0832	0.617	0.508	0	HGNC:2188	collagen type XII alpha 1 chain	protein-coding gene	gene with protein product	Approved	6q13-q14.1	06q13-q14.1	NA	collagen type XII proteoglycan	COL12A1L	collagen, type XII, alpha 1-like|collagen, type XII, alpha 1	Collagens|Fibronectin type III domain containing|Collagen proteoglycans	490|555|575	1992-03-24	NA	2016-05-26	2018-02-13	1303	ENSG00000111799	OTTHUMG00000015051	uc063ppm.1	U73779	NM_004370	CCDS43481|CCDS43482	Q99715	9143499	MGI:88448	RGD:2374	NA	COL12A1	120320	NA	NA	NA	NA	403672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ENSA	ENSA	ok	NO	3.17e-4	0.0924	0.00659	0.16	0.147	0.946	0	HGNC:3360	endosulfine alpha	protein-coding gene	gene with protein product	Approved	1q21.3	01q21.3	MGC4319|MGC8394|MGC78563|ARPP-19e	NA	NA	NA	NA	NA	1998-08-21	NA	NA	2015-09-11	2029	ENSG00000143420	OTTHUMG00000035004	uc001eve.4	X99906	NM_207042	CCDS958|CCDS959|CCDS960|CCDS961|CCDS962|CCDS963|CCDS964|CCDS965	O43768	9653196	MGI:1891189	RGD:62007	NA	ENSA	603061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
ETS2	ETS2	ok	NO	3.71e-4	0.0924	0.00454	0.145	0.409	0.296	0	HGNC:3489	ETS proto-oncogene 2, transcription factor	protein-coding gene	gene with protein product	Approved	21q22.2	21q22.2	NA	NA	NA	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)|v-ets avian erythroblastosis virus E26 oncogene homolog 2	ETS transcription factor family	534	2001-06-22	NA	2016-02-24	2016-10-05	2114	ENSG00000157557	OTTHUMG00000090769	uc002yxf.4	NA	NM_001256295	CCDS13659	P15036	17986575	MGI:95456	RGD:1584977	NA	ETS2	164740	NA	NA	NA	NA	470300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
FER	FER	ok	NO	4.85e-4	0.0926	2.41e-4	0.067	0.54	0.0406	0	HGNC:3655	FER tyrosine kinase	protein-coding gene	gene with protein product	Approved	5q21.3	05q21.3	TYK3|PPP1R74	phosphoprotein NCP94|protein phosphatase 1, regulatory subunit 74	NA	fer (fps/fes related) tyrosine kinase	Protein phosphatase 1 regulatory subunits|SH2 domain containing|F-BAR domain containing |Fes family tyrosine kinases	694|741|1288|1461	1990-03-05	NA	2016-01-21	2016-10-05	2241	ENSG00000151422	OTTHUMG00000128751	uc003kop.2	J03358	NM_005246	CCDS4098|CCDS78044	P16591	2725517	MGI:105917	RGD:1306273	NA	FER	176942	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:2022	NA	NA	NA	NA	2.7.10.1	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
FGF13	FGF13	ok	NO	1.3e-4	0.0733	4.31e-5	0.0522	NA	NA	0	HGNC:3670	fibroblast growth factor 13	protein-coding gene	gene with protein product	Approved	Xq26.3-q27.1	Xq26.3-q27.1	FHF2|FGF2	fibroblast growth factor homologous factor 2	NA	NA	NA	NA	1996-12-16	NA	NA	2018-02-13	2258	ENSG00000129682	OTTHUMG00000022532	uc004fal.4	BC034340	NM_004114	CCDS14664|CCDS14665|CCDS55511|CCDS55512|CCDS55513	Q92913	8790420	MGI:109178	RGD:620164	NA	FGF13	300070	NA	NA	NA	NA	470330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
GTF2E1	GTF2E1	ok	NO	5.81e-4	0.0926	0.0014	0.112	0.815	0.0947	0	HGNC:4650	general transcription factor IIE subunit 1	protein-coding gene	gene with protein product	Approved	3q13.33	03q13.33	TFIIE-A|FE	TFIIE alpha subunit	NA	general transcription factor IIE, polypeptide 1 (alpha subunit, 56kD)|general transcription factor IIE, polypeptide 1, alpha 56kDa	General transcription factors	565	1993-08-20	NA	2015-11-09	2016-10-05	2960	ENSG00000153767	OTTHUMG00000159667	uc003edz.5	S67859	NM_005513	CCDS3002	P29083	1454543|8162052	MGI:1921447	RGD:1306851	NA	GTF2E1	189962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
HIVEP2	HIVEP2	ok	NO	0.00168	0.13	0.00175	0.116	0.129	0.4	0	HGNC:4921	human immunodeficiency virus type I enhancer binding protein 2	protein-coding gene	gene with protein product	Approved	6q24.2	06q24.2	MBP-2|HIV-EP2|MIBP1|ZAS2|Schnurri-2|ZNF40B	c-myc intron binding protein 1	NA	human immunodeficiency virus type I enhancer-binding protein 2	Zinc fingers C2H2-type	28	1992-10-21	NA	2001-11-28	2016-10-05	3097	ENSG00000010818	OTTHUMG00000015713	uc003qjd.4	M60119	NM_006734	CCDS43510	P31629	1733857|2022670	MGI:1338076	RGD:61988	NA	HIVEP2	143054	NA	NA	NA	NA	470458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
IDH1	IDH1	ok	NO	6.17e-4	0.0938	2.19e-4	0.0647	0.583	0.827	0	HGNC:5382	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	protein-coding gene	gene with protein product	Approved	2q34	02q34	NA	NA	NA	isocitrate dehydrogenase 1 (NADP+), soluble|isocitrate dehydrogenase 1 (NADP+)	NA	NA	2001-06-22	NA	2016-04-28	2018-12-06	3417	ENSG00000138413	OTTHUMG00000132943	uc002vcu.5	NA	NM_005896	CCDS2381	O75874	NA	MGI:96413	RGD:2862	LRG_610|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_610.xml	IDH1	147700	NA	NA	NA	NA	299152	NA	NA	NA	NA	objectId:2884	NA	NA	NA	NA	1.1.1.42	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
LIMK1	LIMK1	ok	NO	7.12e-6	0.0257	0.0192	0.207	0.934	0.997	0	HGNC:6613	LIM domain kinase 1	protein-coding gene	gene with protein product	Approved	7q11.23	07q11.23	LIMK	NA	NA	NA	LIM domain containing|PDZ domain containing|LIMK/TESK kinase family	1218|1220|1617	1996-03-14	NA	NA	2015-09-03	3984	ENSG00000106683	OTTHUMG00000023448	uc003uaa.3	D26309	NM_002314	CCDS5563|CCDS56491	P53667	8673124|8812460	MGI:104572	RGD:62055	NA	LIMK1	601329	NA	NA	NA	NA	123060	NA	NA	NA	NA	objectId:2054	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
NDUFA4	NDUFA4	ok	NO	5.88e-4	0.0926	0.00369	0.139	0.578	0.233	0	HGNC:7687	NDUFA4, mitochondrial complex associated	protein-coding gene	gene with protein product	Approved	7p21.3	07p21.3	MLRQ|CI-9k|COXFA4	complex I 9kDa subunit|NADH-ubiquinone oxidoreductase MLRQ subunit|cytochrome c oxidase subunit FA4	NA	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4 (9kD, MLRQ)|NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	NA	NA	1996-08-30	NA	2014-07-30	2018-11-07	4697	ENSG00000189043	OTTHUMG00000023880	uc003srx.3	U94586	NM_002489	CCDS5357	O00483	9352085|22902835|30030519	MGI:107686	RGD:1584719	NA	NDUFA4	603833	NA	NA	NA	NA	396654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PLA2G4A	PLA2G4A	ok	NO	0.0126	0.208	6.51e-5	0.0522	0.339	0.801	0	HGNC:9035	phospholipase A2 group IVA	protein-coding gene	gene with protein product	Approved	1q31.1	01q31.1	cPLA2-alpha	NA	PLA2G4	phospholipase A2, group IVA (cytosolic, calcium-dependent)	Phospholipases|C2 domain containing phospholipases	467|832	1994-11-30	NA	2015-11-18	2018-12-06	5321	ENSG00000116711	OTTHUMG00000035512	uc001gsc.4	M72393	NM_024420	CCDS1372	P47712	8175726	MGI:1195256	RGD:67366	LRG_596|http://ftp.ebi.ac.uk/pub/databases/lrgex/pending/LRG_596.xml	PLA2G4A	600522	NA	NA	NA	NA	476850	NA	NA	NA	NA	objectId:1424	NA	NA	NA	NA	3.1.1.4|3.1.1.5	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
PMP22	PMP22	ok	NO	4.23e-4	0.0926	0.00182	0.117	0.594	0.177	0	HGNC:9118	peripheral myelin protein 22	protein-coding gene	gene with protein product	Approved	17p12	17p12	HNPP|GAS3|Sp110	NA	NA	NA	NA	NA	1992-11-05	NA	NA	2018-12-06	5376	ENSG00000109099	OTTHUMG00000058960	uc002gol.5	D11428	NM_000304	CCDS11168|CCDS82078	Q01453	8482547|1497668	MGI:97631	RGD:3359	Inherited Peripheral Neuropathies Mutation Database|http://www.molgen.ua.ac.be/CMTMutations/|LRG_263|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_263.xml	PMP22	601097	NA	NA	NA	NA	117908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
RALB	RALB	ok	NO	5.18e-5	0.0489	0.00939	0.175	0.838	0.0405	0	HGNC:9840	RAS like proto-oncogene B	protein-coding gene	gene with protein product	Approved	2q14.2	02q14.2	NA	ras related GTP binding protein B	NA	v-ral simian leukemia viral oncogene homolog B	RAS type GTPase family	389	1989-06-30	NA	2016-08-11	2016-08-11	5899	ENSG00000144118	OTTHUMG00000131435	uc002tmk.4	NA	NM_002881	CCDS2131	P11234	NA	MGI:1927244	RGD:619852	NA	RALB	179551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
SOX10	SOX10	ok	NO	2.1e-4	0.086	0.00862	0.173	0.316	0.346	0	HGNC:11190	SRY-box 10	protein-coding gene	gene with protein product	Approved	22q13.1	22q13.1	DOM|WS4|WS2E	dominant megacolon, mouse, human homolog of	NA	SRY (sex determining region Y)-box 10|SRY box 10	SRY-boxes	757	1998-01-22	NA	2015-11-23	2018-12-06	6663	ENSG00000100146	OTTHUMG00000149913	uc003auo.2	NA	NM_006941	CCDS13964	P56693	9462749|10441344|12944398	MGI:98358	RGD:3735	Inherited Peripheral Neuropathies Mutation Database|http://www.molgen.ua.ac.be/CMTMutations/|LOVD - Leiden Open Variation Database|http://grenada.lumc.nl/LOVD2/WS/home.php?select_db=SOX10|LRG_271|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_271.xml	SOX10	602229	NA	NA	NA	NA	119786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31
