#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	121.00	227.00	166.15	164.00	98194.00
chr1	27480473	27481381	908	908	41.00	96.00	63.80	63.00	57930.00
chr15	63112684	63112809	125	125	487.00	647.00	564.76	556.00	70595.00
chr5	149231737	149232254	517	517	4.00	24.00	12.95	13.00	6693.00
chr5	140865429	140867182	1753	1753	16.00	120.00	44.29	41.00	77642.00
chr1	32209793	32209958	165	165	513.00	1169.00	879.92	914.00	145187.00
chr16	87873307	87873431	124	124	194.00	278.00	236.92	240.00	29378.00
chr17	34157438	34158175	737	737	0.00	11.00	3.24	2.00	2389.00
chr2	127815619	127816088	469	469	5.00	47.00	25.18	25.00	11811.00
chr1	208212965	208213112	147	147	113.00	173.00	146.60	150.00	21550.00
chr22	19703883	19704666	783	783	2.00	49.00	22.68	22.00	17762.00
chr16	87872319	87872423	104	104	190.00	283.00	228.39	217.50	23753.00
chr9	140055740	140055868	128	128	2105.00	2762.00	2504.52	2545.00	320578.00
chr22	21096515	21096643	128	128	816.00	1007.00	928.24	945.50	118815.00
chr9	140056321	140056540	219	219	1.00	2993.00	1986.65	2419.00	435077.00
chr11	78379981	78380253	272	272	29.00	95.00	63.85	61.00	17367.00
chr3	11070420	11070533	113	113	684.00	895.00	807.26	817.00	91220.00
chr1	109812554	109813222	668	668	8.00	1253.00	575.47	892.50	384413.00
chr2	220161954	220162155	201	201	2306.00	3855.00	3231.85	3268.00	649601.00
chr15	74706887	74707086	199	199	209.00	362.00	286.97	283.00	57107.00
chr17	7318829	7319426	597	597	354.00	633.00	495.97	498.00	296094.00
chr1	21560050	21560154	104	104	82.00	112.00	98.64	102.50	10259.00
chr1	25573799	25573952	153	153	19.00	564.00	329.56	405.00	50423.00
chr14	93198993	93199160	167	167	251.00	331.00	284.90	276.00	47578.00
chr1	205554003	205554119	116	116	606.00	804.00	701.59	713.00	81385.00
chr1	9795005	9795232	227	227	2133.00	3554.00	2830.53	2907.00	642530.00
chr17	42426525	42426670	145	145	101.00	236.00	167.79	179.00	24329.00
chr18	70205887	70206179	292	292	0.00	169.00	63.17	9.00	18447.00
chr1	205553082	205553251	169	169	618.00	944.00	795.73	823.00	134479.00
