region	gene_symbol	mult_matches	pos_hg19	chr	start	end	seqnames	width	strand	method	gene_id	gene_strand	distToGene	X3UTR	X5UTR	exon	intergenic	intron	promoter	annoClass	id	by_col	gene_symbol_uncorrected	hgnc_id	approved_symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit.trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	download_url	download_date	gene_symbol_corrected_reason
chr10:20571368-20571880	PLXDC2	NO	chr10:20571368-20571880	chr10	20571368	20571880	chr10	513	*	polyA	ENSG00000120594.12	+	0	1	0	0	0	0	0	3UTR	chr10:20571368-20571880	ENSG00000120594	PLXDC2	HGNC:21013	PLXDC2	plexin domain containing 2	protein-coding gene	gene with protein product	Approved	10p12.31	10p12.31	TEM7R|FLJ14623	tumor endothelial marker 7-related precursor	NA	NA	NA	NA	2003-08-27	NA	NA	2016-10-05	84898	OTTHUMG00000017781	uc001iqg.3	AF378757	NM_032812	CCDS7132|CCDS60497	Q6UX71	11559528	MGI:1914698	RGD:1305962	NA	PLXDC2	606827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr8:28609080-28609320	EXTL3	NO	chr8:28609080-28609320	chr8	28609080	28609320	chr8	241	*	polyA	ENSG00000012232.4	+	0	1	0	0	0	0	0	3UTR	chr8:28609080-28609320	ENSG00000012232	EXTL3	HGNC:3518	EXTL3	exostosin like glycosyltransferase 3	protein-coding gene	gene with protein product	Approved	8p21.1	08p21.1	botv|REGR	REG receptor|glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase	NA	exostoses (multiple)-like 3	Exostosin glycosyltransferase family	431	1998-03-20	NA	2016-02-17	2016-10-05	2137	OTTHUMG00000102146	uc003xgz.3	U76188	NM_001440	CCDS6070	O43909	9479495|9450183|11257457	MGI:1860765	RGD:62065	NA	EXTL3	605744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4.1.223	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:235878500-235878657	LYST	NO	chr1:235878500-235878657	chr1	235878500	235878657	chr1	158	*	polyA	ENSG00000143669.9	-	0	0	0	1	0	1	0	exonIntron	chr1:235878500-235878657	ENSG00000143669	LYST	HGNC:1968	LYST	lysosomal trafficking regulator	protein-coding gene	gene with protein product	Approved	1q42.3	01q42.3	CHS	NA	CHS1	Chediak-Higashi syndrome 1	WD repeat domain containing|BEACH domain containing 	362|1230	1996-10-31	2004-12-10	2004-12-09	2018-12-06	1130	OTTHUMG00000040527	uc001hxj.4	U70064	NM_000081	CCDS31062	Q99698	8717042|8896560	MGI:107448	RGD:621837	Albinism Database|http://albinismdb.med.umn.edu/|LYSTbase: Mutation registry for Chediak-Higashi syndrome (previously known as CHS1base)|http://structure.bmc.lu.se/idbase/LYSTbase/|Mutations of the Chediak Higashi Syndrome|http://www.retina-international.org/files/sci-news/chsmut.htm|LRG_143|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_143.xml	LYST	606897	NA	NA	NA	NA	123318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr9:90258290-90258383	DAPK1	NO	chr9:90258290-90258383	chr9	90258290	90258383	chr9	94	*	polyA	ENSG00000196730.8	+	0	1	0	0	0	1	0	strictIntronic	chr9:90258290-90258383	ENSG00000196730	DAPK1	HGNC:2674	DAPK1	death associated protein kinase 1	protein-coding gene	gene with protein product	Approved	9q21.33	09q21.33	DAPK|ROCO3	NA	NA	death-associated protein kinase 1	Ankyrin repeat domain containing|Death associated protein kinases|Roco domain containing	403|1021|1421	1995-04-27	NA	2016-03-15	2017-04-06	1612	OTTHUMG00000020150	uc033czy.2	X76104	NM_004938	CCDS43842	P53355	8530096	MGI:1916885	RGD:1311629	NA	DAPK1	600831	NA	NA	NA	NA	NA	NA	NA	NA	NA	objectId:2002	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr3:188601883-188602080	LPP	NO	chr3:188601883-188602080	chr3	188601883	188602080	chr3	198	*	polyA	ENSG00000145012.8	+	0	1	0	0	0	0	0	3UTR	chr3:188601883-188602080	ENSG00000145012	LPP	HGNC:6679	LPP	LIM domain containing preferred translocation partner in lipoma	protein-coding gene	gene with protein product	Approved	3q27.3-q28	03q27.3-q28	NA	lipoma preferred partner gene	NA	LIM domain-containing preferred translocation partner in lipoma	Zyxin family	1402	1996-07-19	NA	2002-01-14	2018-02-13	4026	OTTHUMG00000156387	uc032sne.1	AL833171	NM_005578	CCDS3291	Q93052	8812423	MGI:2441849	RGD:1310535	NA	LPP	600700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:207696955-207697354	CR1	NO	chr1:207696955-207697354	chr1	207696955	207697354	chr1	400	*	polyA	ENSG00000203710.6	+	0	0	0	1	0	1	0	exonIntron	chr1:207696955-207697354	ENSG00000203710	CR1	HGNC:2334	CR1	complement C3b/C4b receptor 1 (Knops blood group)	protein-coding gene	gene with protein product	Approved	1q32.2	01q32.2	CD35|KN	NA	NA	complement component (3b/4b) receptor 1, including Knops blood group system|complement component (3b/4b) receptor 1 (Knops blood group)|complement component 3b/4b receptor 1 (Knops blood group)	Blood group antigens|CD molecules|Sushi domain containing|Complement system regulators and receptors	454|471|1179|1639	2001-06-22	NA	2016-08-10	2018-12-06	1378	OTTHUMG00000036311	uc001hfx.4	Y00816	NM_000573	CCDS44308|CCDS44309	P17927	1708809	NA	NA	Blood Group Antigen Mutation Database|http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home|LRG_814|http://ftp.ebi.ac.uk/pub/databases/lrgex/pending/LRG_814.xml	CR1	120620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CD35	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr17:78079547-78079693	GAA	NO	chr17:78079547-78079693	chr17	78079547	78079693	chr17	147	*	polyA	ENSG00000171298.8	+	0	0	0	1	0	1	0	exonIntron	chr17:78079547-78079693	ENSG00000171298	GAA	HGNC:4065	GAA	glucosidase alpha, acid	protein-coding gene	gene with protein product	Approved	17q25.3	17q25.3	NA	Pompe disease|glycogen storage disease type II	NA	glucosidase, alpha; acid	Glycoside hydrolase family 31	1413	1986-01-01	NA	2016-03-30	2018-12-06	2548	OTTHUMG00000177537	uc002jxo.4	NA	NM_000152	CCDS32760	P10253	NA	MGI:95609	RGD:735227	GAA - Pompe disease (glycogen storage disease type II)|http://www.LOVD.nl/GAA|LOVD - Leiden Open Variation Database|http://chromium.liacs.nl/LOVD2/home.php?select_db=GAA|LRG_673|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_673.xml	GAA	606800	NA	NA	NA	NA	121987	NA	NA	NA	NA	objectId:2611	NA	NA	NA	NA	3.2.1.20	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr1:192132480-192132768	RGS18	NO	chr1:192132480-192132768	chr1	192132480	192132768	chr1	289	*	polyA	ENSG00000150681.5	+	0	0	0	1	0	0	0	strictExonic	chr1:192132480-192132768	ENSG00000150681	RGS18	HGNC:14261	RGS18	regulator of G protein signaling 18	protein-coding gene	gene with protein product	Approved	1q31.2	01q31.2	RGS13	NA	NA	regulator of G-protein signalling 18|regulator of G-protein signaling 18	Regulators of G-protein signaling	720	2000-12-15	NA	2017-04-13	2017-04-13	64407	OTTHUMG00000035592	uc001gsg.4	AF268036	NM_130782	CCDS1374	Q9NS28	11042171	MGI:1927498	RGD:1306522	NA	RGS18	607192	NA	NA	NA	NA	470970	NA	NA	NA	NA	objectId:2807	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr20:1544729-1544985	SIRPB1	NO	chr20:1544729-1544985	chr20	1544729	1544985	chr20	257	*	polyA	ENSG00000101307.11	-	0	1	0	0	0	0	0	3UTR	chr20:1544729-1544985	ENSG00000101307	SIRPB1	HGNC:15928	SIRPB1	signal regulatory protein beta 1	protein-coding gene	gene with protein product	Approved	20p13	20p13	SIRP-BETA-1|CD172b	NA	NA	signal-regulatory protein beta 1	CD molecules|V-set domain containing|C1-set domain containing|Signal regulatory proteins	471|590|591|747	2001-06-21	NA	2016-01-20	2016-01-20	10326	OTTHUMG00000031676	uc010gai.4	Y10376	NM_006065	CCDS13019|CCDS42850|CCDS46571|CCDS82591	O00241|Q5TFQ8	9062191|16339511	MGI:2444824|MGI:3779828|MGI:3807521	NA	NA	SIRPB1	603889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CD172b	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
chr17:73100064-73100342	SLC16A5	NO	chr17:73100064-73100342	chr17	73100064	73100342	chr17	279	*	polyA	ENSG00000170190.11	+	0	1	0	1	0	1	0	exonIntron	chr17:73100064-73100342	ENSG00000170190	SLC16A5	HGNC:10926	SLC16A5	solute carrier family 16 member 5	protein-coding gene	gene with protein product	Approved	17q25.1	17q25.1	MCT5|MCT6	NA	NA	solute carrier family 16 (monocarboxylic acid transporters), member 5|solute carrier family 16, member 5 (monocarboxylic acid transporter 6)|solute carrier family 16 (monocarboxylate transporter), member 5	Solute carriers	752	1999-02-10	NA	2016-02-17	2016-02-17	9121	OTTHUMG00000179277	uc002jmr.5	U59299	NM_004695	CCDS11713	O15375	9425115	MGI:2443515	RGD:1582896	NA	SLC16A5	603879	NA	NA	NA	SLC16A5	NA	NA	NA	NA	NA	objectId:995	NA	NA	NA	NA	NA	NA	NA	ftp://ftp.ebi.ac.uk/pub/databases/genenames/new/tsv/hgnc_complete_set.txt	2018_12_31	OK
